
User #1, #input: 13, recommendations: 30
P00-1056,1.48428
P02-1006,1.45914
P03-1054,1.08839
P01-1008,1.04664
P04-1036,0.735418
P01-1005,0.660467
P02-1034,0.64028
P01-1017,0.63786
P04-1054,0.634213
P04-1053,0.490298
P01-1052,0.470673
P04-1073,0.45614
P03-1029,0.42547 [*]
P02-1043,0.420215
P03-1044,0.417029
P05-1053,0.367432
P05-1052,0.354134
P00-1071,0.352941
P04-1056,0.350877 [*]
P01-1059,0.336026
User #1, P@10 = [0.2],  R@10 = [0.153846]

User #2, #input: 5, recommendations: 9
P03-1054,1.08839
P02-1050,0.305092
P00-1061,0.294805
P02-1017,0.28475
P02-1039,0.220806
P05-1044,0.14257
P01-1042,0.125813
P04-1084,0.0892337
P04-1062,0.0885726
User #2, P@10 = [0],  R@10 = [0]

User #3, #input: 37, recommendations: 161
P02-1040,2.46255 [*]
P02-1022,1.68637
P02-1053,1.57267
P00-1056,1.48428
P02-1006,1.45914
P03-1021,1.29586
P02-1014,1.10536 [*]
P03-1054,1.08839
P01-1067,1.05141
P02-1038,1.0469
P01-1008,1.04664 [*]
P00-1010,0.9 [*]
P04-1035,0.810108 [*]
P04-1036,0.735418
P02-1060,0.731865
P03-1002,0.656933
P00-1027,0.648772
P05-1022,0.644695
P02-1034,0.64028
P01-1017,0.63786
User #3, P@10 = [0.5],  R@10 = [0.135135]

User #4, #input: 30, recommendations: 108
P02-1040,2.46255
P02-1022,1.68637
P02-1006,1.45914 [*]
P01-1024,1.19793
P02-1014,1.10536
P03-1054,1.08839
P02-1038,1.0469
P01-1008,1.04664
P00-1010,0.9
P02-1035,0.774272
P01-1019,0.747894
P04-1036,0.735418
P02-1060,0.731865
P02-1031,0.71041
P01-1005,0.660467
P03-1002,0.656933
P05-1022,0.644695
P02-1003,0.642659
P02-1034,0.64028
P01-1017,0.63786
User #4, P@10 = [0.1],  R@10 = [0.0333333]

User #5, #input: 15, recommendations: 64
P02-1040,2.46255
P00-1056,1.48428
P03-1021,1.29586
P03-1054,1.08839
P01-1067,1.05141
P02-1038,1.0469
P02-1035,0.774272
P05-1022,0.644695
P02-1034,0.64028
P01-1017,0.63786
P04-1054,0.634213
P04-1014,0.562478
P05-1033,0.552309
P00-1058,0.479316
P05-1012,0.461188
P05-1013,0.454983
P03-1011,0.441487
P01-1030,0.426785
P02-1043,0.420215
P02-1018,0.357083
User #5, P@10 = [0],  R@10 = [0]

User #6, #input: 60, recommendations: 185
P02-1040,2.46255
P02-1022,1.68637
P02-1053,1.57267
P00-1056,1.48428 [*]
P02-1006,1.45914
P03-1021,1.29586
P01-1024,1.19793
P02-1014,1.10536
P03-1054,1.08839 [*]
P01-1067,1.05141 [*]
P02-1038,1.0469
P01-1008,1.04664 [*]
P00-1010,0.9
P02-1035,0.774272
P01-1019,0.747894
P02-1060,0.731865
P03-1035,0.730184
P02-1031,0.71041
P01-1005,0.660467 [*]
P03-1002,0.656933
User #6, P@10 = [0.5],  R@10 = [0.0833333]

User #7, #input: 43, recommendations: 115
P02-1040,2.46255
P02-1022,1.68637
P02-1053,1.57267
P02-1006,1.45914
P03-1021,1.29586
P01-1024,1.19793
P02-1014,1.10536 [*]
P03-1054,1.08839
P02-1038,1.0469
P01-1008,1.04664
P02-1041,1.02128 [*]
P04-1035,0.810108
P02-1035,0.774272
P02-1060,0.731865
P03-1035,0.730184
P02-1031,0.71041
P01-1005,0.660467
P00-1027,0.648772
P05-1022,0.644695
P02-1003,0.642659
User #7, P@10 = [0.2],  R@10 = [0.0465116]

User #8, #input: 24, recommendations: 64
P02-1040,2.46255
P02-1053,1.57267
P00-1056,1.48428
P02-1006,1.45914
P03-1021,1.29586
P03-1054,1.08839
P01-1067,1.05141
P02-1038,1.0469
P01-1008,1.04664
P04-1035,0.810108
P04-1036,0.735418 [*]
P00-1027,0.648772
P04-1054,0.634213
P02-1033,0.50838 [*]
P01-1030,0.426785
P05-1052,0.354134
P03-1058,0.349029 [*]
P02-1046,0.323194
P03-1012,0.309057
P02-1050,0.305092
User #8, P@10 = [0.3],  R@10 = [0.125]

User #9, #input: 46, recommendations: 113
P02-1040,2.46255
P02-1022,1.68637
P02-1053,1.57267
P00-1056,1.48428
P02-1006,1.45914
P03-1021,1.29586
P02-1014,1.10536 [*]
P03-1054,1.08839
P02-1038,1.0469
P01-1008,1.04664
P00-1010,0.9
P04-1035,0.810108
P02-1035,0.774272
P02-1060,0.731865 [*]
P03-1035,0.730184
P02-1031,0.71041
