UserId:ItemId,Prediction,Timestamp
u0000039:i1206543,5,1408769613
u0000039:i1242422,8,1408938387
u0000039:i0038650,8,1408946318
u0000039:i0215750,8,1409302009
u0000039:i0285742,8,1410193365
u0000039:i1334553,5,1410231333
u0000039:i0116209,7,1410598924
u0000039:i0116282,9,1410796559
u0000039:i0054215,8,1411217670
u0000039:i2042568,8,1412200503
u0000039:i0120689,8,1412299309
u0000039:i2883512,6,1412551739
u0000039:i1291584,8,1415178526
u0000039:i1205489,8,1415522146
u0000039:i2267998,9,1418894590
u0000039:i0758758,6,1418898850
u0000039:i0455944,8,1419145293
u0000039:i2582846,9,1419725817
u0000039:i2994190,7,1419955716
u0000039:i0108399,6,1420333656
u0000039:i1600196,6,1420422990
u0000039:i1563738,8,1420508352
u0000039:i1972571,5,1420615556
u0000039:i0388795,4,1420949926
u0000039:i0443706,4,1421051184
u0000039:i2788710,4,1421114528
u0000039:i0780504,3,1421313219
